"id";"name";"email";"password";"roll_number";"semester";"professor_id";"active"
1;"Aarav Patil";"aarav.patil@college.edu";"pass123";"RN1001";1;2;1
2;"Vivaan Deshmukh";"vivaan.deshmukh@college.edu";"pass123";"RN1002";2;50;1
3;"Aditya Jadhav";"aditya.jadhav@college.edu";"pass123";"RN1003";3;3;1
4;"Vihaan Shinde";"vihaan.shinde@college.edu";"pass123";"RN1004";0;4;1
5;"Arjun Pawar";"arjun.pawar@college.edu";"pass123";"RN1005";4;5;1
6;"Sai Chavan";"sai.chavan@college.edu";"pass123";"RN1006";2;6;1
7;"Krishna Kale";"krishna.kale@college.edu";"pass123";"RN1007";1;7;1
8;"Aryan More";"aryan.more@college.edu";"pass123";"RN1008";3;8;1
9;"Rohan Ghorpade";"rohan.ghorpade@college.edu";"pass123";"RN1009";4;9;1
10;"Aniket Bhosale";"aniket.bhosale@college.edu";"pass123";"RN1010";2;10;1
11;"Sneha Patil";"sneha.patil@college.edu";"pass123";"RN1011";1;11;1
12;"Pooja Deshmukh";"pooja.deshmukh@college.edu";"pass123";"RN1012";2;12;1
13;"Riya Jadhav";"riya.jadhav@college.edu";"pass123";"RN1013";3;13;1
14;"Simran Shinde";"simran.shinde@college.edu";"pass123";"RN1014";1;14;1
15;"Isha Pawar";"isha.pawar@college.edu";"pass123";"RN1015";4;15;1
16;"Anjali Chavan";"anjali.chavan@college.edu";"pass123";"RN1016";2;16;1
17;"Meera Kale";"meera.kale@college.edu";"pass123";"RN1017";1;17;1
18;"Kritika More";"kritika.more@college.edu";"pass123";"RN1018";3;18;1
19;"Divya Ghorpade";"divya.ghorpade@college.edu";"pass123";"RN1019";4;19;1
20;"Manasi Bhosale";"manasi.bhosale@college.edu";"pass123";"RN1020";2;20;1
21;"Nikhil Patil";"nikhil.patil@college.edu";"pass123";"RN1021";1;2;1
22;"Rahul Deshmukh";"rahul.deshmukh@college.edu";"pass123";"RN1022";2;50;1
23;"Omkar Jadhav";"omkar.jadhav@college.edu";"pass123";"RN1023";3;3;1
24;"Sanket Shinde";"sanket.shinde@college.edu";"pass123";"RN1024";1;4;1
25;"Ritesh Pawar";"ritesh.pawar@college.edu";"pass123";"RN1025";4;5;1
26;"Yash Chavan";"yash.chavan@college.edu";"pass123";"RN1026";2;6;1
27;"Amit Kale";"amit.kale@college.edu";"pass123";"RN1027";1;7;1
28;"Deepak More";"deepak.more@college.edu";"pass123";"RN1028";3;8;1
29;"Harsh Ghorpade";"harsh.ghorpade@college.edu";"pass123";"RN1029";4;9;1
30;"Swapnil Bhosale";"swapnil.bhosale@college.edu";"pass123";"RN1030";2;10;1
31;"Tanvi Patil";"tanvi.patil@college.edu";"pass123";"RN1031";1;11;1
32;"Anushka Deshmukh";"anushka.deshmukh@college.edu";"pass123";"RN1032";2;12;1
33;"Pranali Jadhav";"pranali.jadhav@college.edu";"pass123";"RN1033";3;13;1
34;"Sayali Shinde";"sayali.shinde@college.edu";"pass123";"RN1034";1;14;1
35;"Shruti Pawar";"shruti.pawar@college.edu";"pass123";"RN1035";4;15;1
36;"Roshni Chavan";"roshni.chavan@college.edu";"pass123";"RN1036";2;16;1
37;"Neha Kale";"neha.kale@college.edu";"pass123";"RN1037";1;17;1
38;"Prajakta More";"prajakta.more@college.edu";"pass123";"RN1038";3;18;1
39;"Asmita Ghorpade";"asmita.ghorpade@college.edu";"pass123";"RN1039";4;19;1
40;"Pallavi Bhosale";"pallavi.bhosale@college.edu";"pass123";"RN1040";2;20;1
41;"Akshay Patil";"akshay.patil@college.edu";"pass123";"RN1041";1;2;1
42;"Tejas Deshmukh";"tejas.deshmukh@college.edu";"pass123";"RN1042";2;50;1
43;"Saurabh Jadhav";"saurabh.jadhav@college.edu";"pass123";"RN1043";3;3;1
44;"Mayur Shinde";"mayur.shinde@college.edu";"pass123";"RN1044";1;4;1
45;"Tushar Pawar";"tushar.pawar@college.edu";"pass123";"RN1045";4;5;1
46;"Chinmay Chavan";"chinmay.chavan@college.edu";"pass123";"RN1046";2;6;1
47;"Shubham Kale";"shubham.kale@college.edu";"pass123";"RN1047";1;7;1
48;"Jayesh More";"jayesh.more@college.edu";"pass123";"RN1048";3;8;1
49;"Vishal Ghorpade";"vishal.ghorpade@college.edu";"pass123";"RN1049";4;9;1
50;"Suraj Bhosale";"suraj.bhosale@college.edu";"pass123";"RN1050";2;10;1
51;"Shraddha Patil";"shraddha.patil@college.edu";"pass123";"RN1051";1;11;1
52;"Bhakti Deshmukh";"bhakti.deshmukh@college.edu";"pass123";"RN1052";2;12;1
53;"Ketaki Jadhav";"ketaki.jadhav@college.edu";"pass123";"RN1053";3;13;1
54;"Rupali Shinde";"rupali.shinde@college.edu";"pass123";"RN1054";1;14;1
55;"Jyoti Pawar";"jyoti.pawar@college.edu";"pass123";"RN1055";4;15;1
56;"Kajal Chavan";"kajal.chavan@college.edu";"pass123";"RN1056";2;16;1
57;"Snehal Kale";"snehal.kale@college.edu";"pass123";"RN1057";1;17;1
58;"Namrata More";"namrata.more@college.edu";"pass123";"RN1058";3;18;1
59;"Vaishnavi Ghorpade";"vaishnavi.ghorpade@college.edu";"pass123";"RN1059";4;19;1
60;"Neelam Bhosale";"neelam.bhosale@college.edu";"pass123";"RN1060";2;20;1
61;"Ritesh Khot";"ritesh.khot@college.edu";"pass123";"RN1061";1;2;1
62;"Raj Pawar";"raj.pawar@college.edu";"pass123";"RN1062";2;50;1
63;"Amol Patil";"amol.patil@college.edu";"pass123";"RN1063";3;3;1
64;"Umesh Chavan";"umesh.chavan@college.edu";"pass123";"RN1064";1;4;1
